Input File,Input Language,Output Language,Translated Code,Result,Passed All Tests
FUNCTION_COPY_STRING_ITERATIVE_RECURSIVE_1.py,java,python,"def f_filled(s1, s2, index):
    s2[index] = s1[index]
    if index == len(s1) - 1:
        return
    f_filled(s1, s2, index + 1)","#Results: 10, 10
",True
FIND_INDEX_OF_AN_EXTRA_ELEMENT_PRESENT_IN_ONE_SORTED_ARRAY_1.py,java,python,"def f_filled(arr1, arr2, n):
    index = n
    left, right = 0, n - 1
    while left <= right:
        mid = (left + right) // 2
        if arr2[mid] == arr1[mid]:
            left = mid + 1
        else:
            index = mid
            right = mid - 1
    return index","#Results: 10, 10
",True
MAXIMUM_SUM_PAIRS_SPECIFIC_DIFFERENCE_1.py,java,python,"def f_filled(arr, N, k):
    maxSum = 0
    arr.sort()
    i = N - 1
    while i > 0:
        if arr[i] - arr[i - 1] < k:
            maxSum += arr[i]
            maxSum += arr[i - 1]
            i -= 1
        i -= 1
    return maxSum","#Results: 6, 10
",False
STEINS_ALGORITHM_FOR_FINDING_GCD.py,java,python,"def f_filled(a, b):
    if a == 0:
        return b
    if b == 0:
        return a
    k = 0
    while ((a | b) & 1) == 0:
        a >>= 1
        b >>= 1
        k += 1
    while (a & 1) == 0:
        a >>= 1
    while b != 0:
        while (b & 1) == 0:
            b >>= 1
        if a > b:
            a, b = b, a
        b = b - a
    return a << k","#Results: 10, 10
",True
WILDCARD_CHARACTER_MATCHING.py,java,python,"def f_filled(first, second):
    if len(first) == 0 and len(second) == 0:
        return True
    if len(first) > 1 and first[0] == '*' and len(second) == 0:
        return False
    if (len(first) > 1 and first[0] == '?') or (len(first) != 0 and len(second) != 0 and first[0] == second[0]):
        return f_filled(first[1:], second[1:])
    if len(first) > 0 and first[0] == '*':
        return f_filled(first[1:], second) or f_filled(first, second[1:])
    return False","#Results: 10, 10
",True
MINIMUM_ROTATIONS_REQUIRED_GET_STRING.py,java,python,"def f_filled(str):
    tmp = str + str
    n = len(str)
    for i in range(1, n + 1):
        substring = tmp[i:i + len(str)]
        if str == substring:
            return i
    return n","#Results: 10, 10
",True
SORT_ARRAY_APPLYING_GIVEN_EQUATION.py,java,python,"def f_filled(arr, n, A, B, C):
    for i in range(n):
        arr[i] = A * arr[i] * arr[i] + B * arr[i] + C
    index = -1
    maximum = -999999
    for i in range(n):
        if maximum < arr[i]:
            index = i
            maximum = arr[i]
    i, j = 0, n - 1
    new_arr = [0] * n
    k = 0
    while i < index and j > index:
        if arr[i] < arr[j]:
            new_arr[k] = arr[i]
            i += 1
        else:
            new_arr[k] = arr[j]
            j -= 1
        k += 1
    while i < index:
        new_arr[k] = arr[i]
        i += 1
        k += 1
    while j > index:
        new_arr[k] = arr[j]
        j -= 1
        k += 1
    new_arr[n - 1] = maximum
    for p in range(n):
        arr[p] = new_arr[p]","#Results: 5, 10
",False
ANALYSIS_OF_ALGORITHMS_SET_2_ASYMPTOTIC_ANALYSIS.py,java,python,"def f_filled(arr, n, x):
    for i in range(n):
        if arr[i] == x:
            return i
    return -1","#Results: 10, 10
",True
UGLY_NUMBERS.py,java,python,"def f_filled(n):
    ugly = [0] * n
    i2 = i3 = i5 = 0
    next_multiple_of_2 = 2
    next_multiple_of_3 = 3
    next_multiple_of_5 = 5
    next_ugly_no = 1
    ugly[0] = 1
    for i in range(1, n):
        next_ugly_no = min(next_multiple_of_2, min(next_multiple_of_3, next_multiple_of_5))
        ugly[i] = next_ugly_no
        if next_ugly_no == next_multiple_of_2:
            i2 += 1
            next_multiple_of_2 = ugly[i2] * 2
        if next_ugly_no == next_multiple_of_3:
            i3 += 1
            next_multiple_of_3 = ugly[i3] * 3
        if next_ugly_no == next_multiple_of_5:
            i5 += 1
            next_multiple_of_5 = ugly[i5] * 5
    return next_ugly_no","#Results: 10, 10
",True
UNIQUE_CELLS_BINARY_MATRIX.py,java,python,"def f_filled(mat, n, m):
    rowsum = [0] * n
    colsum = [0] * m
    for i in range(n):
        for j in range(m):
            if mat[i][j] != 0:
                rowsum[i] += 1
                colsum[j] += 1
    uniquecount = 0
    for i in range(n):
        for j in range(m):
            if mat[i][j] != 0 and rowsum[i] == 1 and colsum[j] == 1:
                uniquecount += 1
    return uniquecount","#Results: 10, 10
",True
FIND_A_ROTATION_WITH_MAXIMUM_HAMMING_DISTANCE.py,java,python,"def f_filled(arr, n):
    brr = [0] * (2 * n + 1)
    for i in range(n):
        brr[i] = arr[i]
    for i in range(n):
        brr[n + i] = arr[i]
    maxHam = 0
    for i in range(1, n):
        currHam = 0
        for j, k in zip(range(i, i + n), range(n)):
            if brr[j] != arr[k]:
                currHam += 1
        if currHam == n:
            return n
        maxHam = max(maxHam, currHam)
    return maxHam","#Results: 7, 10
",False
BELL_NUMBERS_NUMBER_OF_WAYS_TO_PARTITION_A_SET.py,java,python,"def f_filled(n):
    bell = [[0] * (n + 1) for _ in range(n + 1)]
    bell[0][0] = 1
    for i in range(1, n + 1):
        bell[i][0] = bell[i - 1][i - 1]
        for j in range(1, i + 1):
            bell[i][j] = bell[i - 1][j - 1] + bell[i][j - 1]
    return bell[n][0]","#Results: 10, 10
",True
MULTIPLY_LARGE_NUMBERS_REPRESENTED_AS_STRINGS.py,java,python,"def f_filled(num1, num2):
    len1 = len(num1)
    len2 = len(num2)
    if len1 == 0 or len2 == 0:
        return ""0""
    
    result = [0] * (len1 + len2)
    i_n1 = 0
    i_n2 = 0
    
    for i in range(len1 - 1, -1, -1):
        carry = 0
        n1 = ord(num1[i]) - ord('0')
        i_n2 = 0
        
        for j in range(len2 - 1, -1, -1):
            n2 = ord(num2[j]) - ord('0')
            sum = n1 * n2 + result[i_n1 + i_n2] + carry
            carry = sum // 10
            result[i_n1 + i_n2] = sum % 10
            i_n2 += 1
        
        if carry > 0:
            result[i_n1 + i_n2] += carry
        i_n1 += 1
    
    i = len(result) - 1
    while i >= 0 and result[i] == 0:
        i -= 1
    
    if i == -1:
        return ""0""
    
    s = """"
    while i >= 0:
        s += str(result[i])
        i -= 1
    
    return s","#Results: 6, 10
",False
FIND_DIFFERENCE_BETWEEN_SUMS_OF_TWO_DIAGONALS.py,java,python,"def f_filled(arr, n):
    d1 = 0
    d2 = 0
    for i in range(n):
        for j in range(n):
            if i == j:
                d1 += arr[i][j]
            if i == n - j - 1:
                d2 += arr[i][j]
    return abs(d1 - d2)","#Results: 10, 10
",True
FIND_POSITION_GIVEN_NUMBER_AMONG_NUMBERS_MADE_4_7.py,java,python,"def f_filled(n: str) -> int:
    k = 0
    pos = 0
    i = 0
    while k != len(n):
        if n[i] == '4':
            pos = pos * 2 + 1
        elif n[i] == '7':
            pos = pos * 2 + 2
        i += 1
        k += 1
    return pos","#Results: 10, 10
",True
SWAP_ALL_ODD_AND_EVEN_BITS.py,java,python,"def f_filled(x):
    even_bits = x & 0xAAAAAAAA
    odd_bits = x & 0x55555555
    even_bits >>= 1
    odd_bits <<= 1
    return (even_bits | odd_bits)","#Results: 10, 10
",True
CONSTRUCT_LEXICOGRAPHICALLY_SMALLEST_PALINDROME.py,java,python,"def f_filled(str, len):
    i = 0
    j = len - 1
    while i < j:
        if str[i] == str[j] and str[i] != '*':
            i += 1
            j -= 1
            continue
        elif str[i] == str[j] and str[i] == '*':
            str[i] = 'a'
            str[j] = 'a'
            i += 1
            j -= 1
            continue
        elif str[i] == '*':
            str[i] = str[j]
            i += 1
            j -= 1
            continue
        elif str[j] == '*':
            str[j] = str[i]
            i += 1
            j -= 1
            continue
        return """"
    return ''.join(str)","Not Possible
Not Possible
Not Possible
Not Possible
Not Possible
Not Possible
Not Possible
Not Possible
Not Possible
#Results: 10, 10
",True
STACK_PERMUTATIONS_CHECK_IF_AN_ARRAY_IS_STACK_PERMUTATION_OF_OTHER.py,java,python,"from collections import deque

def f_filled(ip, op, n):
    input_queue = deque(ip)
    output_queue = deque(op)
    temp_stack = []

    while input_queue:
        ele = input_queue.popleft()
        if ele == output_queue[0]:
            output_queue.popleft()
            while temp_stack and temp_stack[-1] == output_queue[0]:
                temp_stack.pop()
                output_queue.popleft()
        else:
            temp_stack.append(ele)

    return not input_queue and not temp_stack","#Results: 9, 10
",False
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE.py,java,python,"def f_filled(arr, n):
    dp = [1] * n
    for i in range(1, n):
        for j in range(i):
            if (arr[i] == arr[j] + 1) or (arr[i] == arr[j] - 1):
                dp[i] = max(dp[i], dp[j] + 1)
    result = 1
    for i in range(n):
        if result < dp[i]:
            result = dp[i]
    return result","#Results: 10, 10
",True
MAXIMUM_PRODUCT_INCREASING_SUBSEQUENCE.py,java,python,"def f_filled(arr, n):
    mpis = [0] * n
    max_val = float('-inf')
    for i in range(n):
        mpis[i] = arr[i]
    for i in range(1, n):
        for j in range(i):
            if arr[i] > arr[j] and mpis[i] < (mpis[j] * arr[i]):
                mpis[i] = mpis[j] * arr[i]
    for k in range(len(mpis)):
        if mpis[k] > max_val:
            max_val = mpis[k]
    return max_val","#Results: 10, 10
",True
MAXIMUM_PRODUCT_OF_4_ADJACENT_ELEMENTS_IN_MATRIX.py,java,python,"def f_filled(arr, n):
    max_product = 0
    for i in range(n):
        for j in range(n):
            if (j - 3) >= 0:
                result = arr[i][j] * arr[i][j - 1] * arr[i][j - 2] * arr[i][j - 3]
                if max_product < result:
                    max_product = result
            if (i - 3) >= 0:
                result = arr[i][j] * arr[i - 1][j] * arr[i - 2][j] * arr[i - 3][j]
                if max_product < result:
                    max_product = result
            if (i - 3) >= 0 and (j - 3) >= 0:
                result = arr[i][j] * arr[i - 1][j - 1] * arr[i - 2][j - 2] * arr[i - 3][j - 3]
                if max_product < result:
                    max_product = result
    return max_product","#Results: 10, 10
",True
REMOVE_BRACKETS_ALGEBRAIC_STRING_CONTAINING_OPERATORS.py,java,python,"def f_filled(str):
    len_str = len(str)
    res = [''] * len_str
    index = 0
    i = 0
    s = []
    s.append(0)
    while i < len_str:
        if str[i] == '+':
            if s[-1] == 1:
                res[index] = '-'
            if s[-1] == 0:
                res[index] = '+'
            index += 1
        elif str[i] == '-':
            if s[-1] == 1:
                res[index] = '+'
            elif s[-1] == 0:
                res[index] = '-'
            index += 1
        elif str[i] == '(' and i > 0:
            if str[i - 1] == '-':
                x = 0 if s[-1] == 1 else 1
                s.append(x)
            elif str[i - 1] == '+':
                s.append(s[-1])
        elif str[i] == ')':
            s.pop()
        else:
            res[index] = str[i]
            index += 1
        i += 1
    return ''.join(res)","#Results: 0, 10
",False
TRIANGULAR_NUMBERS_1.py,java,python,"import math

def f_filled(num):
    if num < 0:
        return False
    c = (-2 * num)
    b = 1
    a = 1
    d = (b * b) - (4 * a * c)
    if d < 0:
        return False
    root1 = (-b + math.sqrt(d)) / (2 * a)
    root2 = (-b - math.sqrt(d)) / (2 * a)
    if root1 > 0 and math.floor(root1) == root1:
        return True
    if root2 > 0 and math.floor(root2) == root2:
        return True
    return False","#Results: 10, 10
",True
CONVERTING_ONE_STRING_USING_APPEND_DELETE_LAST_OPERATIONS.py,java,python,"def f_filled(str1, str2, k):
    if (len(str1) + len(str2)) < k:
        return True
    commonLength = 0
    for i in range(min(len(str1), len(str2))):
        if str1[i] == str2[i]:
            commonLength += 1
        else:
            break
    if (k - len(str1) - len(str2) + 2 * commonLength) % 2 == 0:
        return True
    return False","#Results: 10, 10
",True
FIND_THREE_ELEMENT_FROM_DIFFERENT_THREE_ARRAYS_SUCH_THAT_THAT_A_B_C_K_1.py,java,python,"def f_filled(a1, a2, a3, n1, n2, n3, sum):
    s = set()
    for i in range(n1):
        s.add(a1[i])
    al = list(s)
    for i in range(n2):
        for j in range(n3):
            if (sum - a2[i] - a3[j]) in al and al.index(sum - a2[i] - a3[j]) != len(al) - 1:
                return True
    return False","#Results: 10, 10
",True
HIGHWAY_BILLBOARD_PROBLEM.py,java,python,"def f_filled(m, x, revenue, n, t):
    maxRev = [0] * (m + 1)
    nxtbb = 0
    for i in range(1, m + 1):
        if nxtbb < n:
            if x[nxtbb] != i:
                maxRev[i] = maxRev[i - 1]
            else:
                if i <= t:
                    maxRev[i] = max(maxRev[i - 1], revenue[nxtbb])
                else:
                    maxRev[i] = max(maxRev[i - t - 1] + revenue[nxtbb], maxRev[i - 1])
                nxtbb += 1
        else:
            maxRev[i] = maxRev[i - 1]
    return maxRev[m]","#Results: 10, 10
",True
COUNT_OF_OCCURRENCES_OF_A_101_PATTERN_IN_A_STRING.py,java,python,"def f_filled(str):
    len_str = len(str)
    one_seen = False
    count = 0
    for i in range(len_str):
        get_char = str[i]
        if get_char == '1' and one_seen == True:
            if str[i - 1] == '0':
                count += 1
        if get_char == '1' and one_seen == False:
            one_seen = True
        if get_char != '0' and str[i] != '1':
            one_seen = False
    return count","#Results: 10, 10
",True
PRINT_WORDS_STRING_REVERSE_ORDER.py,java,python,"def f_filled(str):
    i = len(str) - 1
    end = i + 1
    result = """"
    while i >= 0:
        if str[i] == ' ':
            start = i + 1
            while start != end:
                result += str[start]
                start += 1
            result += ' '
            end = i
        i -= 1
    start = 0
    while start != end:
        result += str[start]
        start += 1
    return result","#Results: 10, 10
",True
PRINT_MAXIMUM_SHORTEST_DISTANCE.py,java,python,"def f_filled(a, n, k):
    b = {}
    for i in range(n):
        x = a[i]
        d = min(1 + i, n - i)
        if x not in b:
            b[x] = d
        else:
            b[x] = min(d, b[x])
    
    ans = float('inf')
    for i in range(n):
        x = a[i]
        if x != k - x and (k - x) in b:
            ans = min(max(b[x], b[k - x]), ans)
    
    return ans","#Results: 1, 10
",False
MINIMUM_COST_CUT_BOARD_SQUARES.py,java,python,"def f_filled(X, Y, m, n):
    res = 0
    X.sort(reverse=True)
    Y.sort(reverse=True)
    hzntl = 1
    vert = 1
    i = 0
    j = 0
    while i < m and j < n:
        if X[i] > Y[j]:
            res += X[i] * vert
            hzntl += 1
            i += 1
        else:
            res += Y[j] * hzntl
            vert += 1
            j += 1
    total = 0
    while i < m:
        total += X[i]
        i += 1
    res += total * vert
    total = 0
    while j < n:
        total += Y[j]
        j += 1
    res += total * hzntl
    return res","#Results: 10, 10
",True
DISTRIBUTING_M_ITEMS_CIRCLE_SIZE_N_STARTING_K_TH_POSITION.py,java,python,"def f_filled(n, m, k):
    if m <= n - k + 1:
        return m + k - 1
    m = m - (n - k + 1)
    return n if m % n == 0 else (m % n)","#Results: 10, 10
",True
DYNAMIC_PROGRAMMING_SET_17_PALINDROME_PARTITIONING_1.py,java,python,"def f_filled(str):
    n = len(str)
    C = [0] * n
    P = [[False] * n for _ in range(n)]
    
    for i in range(n):
        P[i][i] = True
    
    for L in range(2, n + 1):
        for i in range(n - L + 1):
            j = i + L - 1
            if L == 2:
                P[i][j] = (str[i] == str[j])
            else:
                P[i][j] = (str[i] == str[j]) and P[i + 1][j - 1]
    
    for i in range(n):
        if P[0][i]:
            C[i] = 0
        else:
            C[i] = float('inf')
            for j in range(i):
                if P[j + 1][i] and 1 + C[j] < C[i]:
                    C[i] = 1 + C[j]
    
    return C[n - 1]","#Results: 10, 10
",True
MINIMUM_SWAPS_REQUIRED_BRING_ELEMENTS_LESS_EQUAL_K_TOGETHER.py,java,python,"def f_filled(arr, n, k):
    count = 0
    for i in range(n):
        if arr[i] <= k:
            count += 1
    bad = 0
    for i in range(count):
        if arr[i] > k:
            bad += 1
    ans = bad
    for i in range(n - count):
        if arr[i] > k:
            bad -= 1
        if arr[i + count] > k:
            bad += 1
        ans = min(ans, bad)
    return ans","#Results: 10, 10
",True
PROGRAM_TO_FIND_REMAINDER_WITHOUT_USING_MODULO_OR_OPERATOR_1.py,java,python,"def f_filled(num, divisor):
    if divisor == 0:
        raise ValueError(""Error: divisor can't be zero"")
    if divisor < 0:
        divisor = -divisor
    if num < 0:
        num = -num
    i = 1
    product = 0
    while product <= num:
        product = divisor * i
        i += 1
    return num - (product - divisor)","#Results: 10, 10
",True
MINIMUM_TIME_TO_FINISH_TASKS_WITHOUT_SKIPPING_TWO_CONSECUTIVE.py,java,python,"def f_filled(arr, n):
    if n <= 0:
        return 0
    incl = arr[0]
    excl = 0
    for i in range(1, n):
        incl_new = arr[i] + min(excl, incl)
        excl_new = incl
        incl = incl_new
        excl = excl_new
    return min(incl, excl)","#Results: 10, 10
",True
FIND_SUM_NON_REPEATING_DISTINCT_ELEMENTS_ARRAY.py,java,python,"def f_filled(arr, n):
    sum = 0
    s = set()
    for i in range(n):
        if arr[i] not in s:
            sum += arr[i]
            s.add(arr[i])
    return sum","#Results: 10, 10
",True
PROGRAM_FIND_SMALLEST_DIFFERENCE_ANGLES_TWO_PARTS_GIVEN_CIRCLE.py,java,python,"def f_filled(arr, n):
    l = 0
    sum = 0
    ans = 360
    for i in range(n):
        sum += arr[i]
        while sum >= 180:
            ans = min(ans, 2 * abs(180 - sum))
            sum -= arr[l]
            l += 1
        ans = min(ans, 2 * abs(180 - sum))
    return ans","#Results: 10, 10
",True
HARDY_RAMANUJAN_THEOREM.py,java,python,"import math

def f_filled(n):
    count = 0
    if n % 2 == 0:
        count += 1
        while n % 2 == 0:
            n = n // 2
    for i in range(3, int(math.sqrt(n)) + 1, 2):
        if n % i == 0:
            count += 1
            while n % i == 0:
                n = n // i
    if n > 2:
        count += 1
    return count","#Results: 10, 10
",True
GOLD_MINE_PROBLEM.py,java,python,"def f_filled(gold, m, n):
    goldTable = [[0] * n for _ in range(m)]
    for col in range(n - 1, -1, -1):
        for row in range(m):
            right = 0 if col == n - 1 else goldTable[row][col + 1]
            right_up = 0 if row == 0 or col == n - 1 else goldTable[row - 1][col + 1]
            right_down = 0 if row == m - 1 or col == n - 1 else goldTable[row + 1][col + 1]
            goldTable[row][col] = gold[row][col] + max(right, max(right_up, right_down))
    res = goldTable[0][0]
    for i in range(1, m):
        res = max(res, goldTable[i][0])
    return res","#Results: 10, 10
",True
MAXIMUM_PROFIT_BY_BUYING_AND_SELLING_A_SHARE_AT_MOST_K_TIMES_1.py,java,python,"def f_filled(price, n, k):
    profit = [[0] * (n + 1) for _ in range(k + 1)]
    for i in range(1, k + 1):
        prevDiff = float('-inf')
        for j in range(1, n):
            prevDiff = max(prevDiff, profit[i - 1][j - 1] - price[j - 1])
            profit[i][j] = max(profit[i][j - 1], price[j] + prevDiff)
    return profit[k][n - 1]","#Results: 10, 10
",True
MINIMUM_TIME_WRITE_CHARACTERS_USING_INSERT_DELETE_COPY_OPERATION.py,java,python,"def f_filled(N, insert, remove, copy):
    if N == 0:
        return 0
    if N == 1:
        return insert
    dp = [0] * (N + 1)
    for i in range(1, N + 1):
        if i % 2 == 0:
            dp[i] = min(dp[i - 1] + insert, dp[i // 2] + copy)
        else:
            dp[i] = min(dp[i - 1] + insert, dp[(i + 1) // 2] + copy + remove)
    return dp[N]","#Results: 10, 10
",True
GOOGLE_CASE_GIVEN_SENTENCE.py,java,python,"def f_filled(s):
    n = len(s)
    s1 = """"
    s1 += s[0].lower()
    i = 1
    while i < n:
        if s[i] == ' ' and i < n:
            s1 += "" "" + s[i + 1].lower()
            i += 1
        else:
            s1 += s[i].upper()
        i += 1
    return s1","#Results: 10, 10
",True
PROGRAM_BINARY_DECIMAL_CONVERSION_1.py,java,python,"def f_filled(n):
    num = n
    dec_value = 0
    base = 1
    len_num = len(num)
    for i in range(len_num - 1, -1, -1):
        if num[i] == '1':
            dec_value += base
        base = base * 2
    return dec_value","#Results: 10, 10
",True
COUNT_SUBARRAYS_EQUAL_NUMBER_1S_0S.py,java,python,"def f_filled(arr, n):
    um = {}
    curr_sum = 0
    for i in range(n):
        curr_sum += -1 if arr[i] == 0 else arr[i]
        if curr_sum in um:
            um[curr_sum] += 1
        else:
            um[curr_sum] = 1
    count = 0
    for value in um.values():
        if value > 1:
            count += (value * (value - 1)) // 2
    if 0 in um:
        count += um[0]
    return count","#Results: 10, 10
",True
BINARY_SEARCH.py,java,python,"def f_filled(arr, l, r, x):
    if r >= l:
        mid = l + (r - l) // 2
        if arr[mid] == x:
            return mid
        if arr[mid] > x:
            return f_filled(arr, l, mid - 1, x)
        return f_filled(arr, mid + 1, r, x)
    return -1","#Results: 10, 10
",True
MAXIMUM_NUMBER_2X2_SQUARES_CAN_FIT_INSIDE_RIGHT_ISOSCELES_TRIANGLE.py,java,python,"def f_filled(base):
    base = (base - 2)
    base = base // 2
    return base * (base + 1) // 2","#Results: 7, 10
",False
MEDIAN_OF_TWO_SORTED_ARRAYS.py,java,python,"def f_filled(ar1, ar2, n):
    i = 0
    j = 0
    count = 0
    m1 = -1
    m2 = -1
    for count in range(n + 1):
        if i == n:
            m1 = m2
            m2 = ar2[0]
            break
        elif j == n:
            m1 = m2
            m2 = ar1[0]
            break
        if ar1[i] < ar2[j]:
            m1 = m2
            m2 = ar1[i]
            i += 1
        else:
            m1 = m2
            m2 = ar2[j]
            j += 1
    return (m1 + m2) // 2","#Results: 5, 10
",False
STEINS_ALGORITHM_FOR_FINDING_GCD_1.py,java,python,"def f_filled(a, b):
    if a == b:
        return a
    if a == 0:
        return b
    if b == 0:
        return a
    if (~a & 1) == 1:
        if (b & 1) == 1:
            return f_filled(a >> 1, b)
        else:
            return f_filled(a >> 1, b >> 1) << 1
    if (~b & 1) == 1:
        return f_filled(a, b >> 1)
    if a > b:
        return f_filled((a - b) >> 1, b)
    return f_filled((b - a) >> 1, a)","#Results: 10, 10
",True
FIND_EQUAL_POINT_STRING_BRACKETS.py,java,python,"def f_filled(str):
    len_str = len(str)
    open = [0] * (len_str + 1)
    close = [0] * (len_str + 1)
    index = -1
    open[0] = 0
    close[len_str] = 0
    if str[0] == '(':
        open[1] = 1
    if str[len_str - 1] == ')':
        close[len_str - 1] = 1
    for i in range(1, len_str):
        if str[i] == '(':
            open[i + 1] = open[i] + 1
        else:
            open[i + 1] = open[i]
    for i in range(len_str - 2, -1, -1):
        if str[i] == ')':
            close[i] = close[i + 1] + 1
        else:
            close[i] = close[i + 1]
    if open[len_str] == 0:
        return len_str
    if close[0] == 0:
        return 0
    for i in range(len_str + 1):
        if open[i] == close[i]:
            index = i
    return index","Traceback (most recent call last):
  File ""/Users/parsayoussefpour/Desktop/MEng - Translator/Final_Milestone/eval_code.py"", line 83, in <module>
    if f_filled(*parameters_set) == f_gold(*parameters_set):
                                    ~~~~~~^^^^^^^^^^^^^^^^^
  File ""/Users/parsayoussefpour/Desktop/MEng - Translator/Final_Milestone/eval_code.py"", line 25, in f_gold
    close [ i ] = close [ i + 1 ] + 1
                  ~~~~~~~~~~~~~~~~^~~
TypeError: unsupported operand type(s) for +: 'NoneType' and 'int'
",False
